# Balancin telemetria  2026-05-26 00:46:21
# Cargar en MATLAB:
#   data = readmatrix('archivo.txt', 'CommentStyle','#');
# Columnas:
# t[s]	vd[m/s]	v[m/s]	theta[rad]	alpha[rad]	oml[rad/s]	omr[rad/s]	ul[V]	ur[V]	Sl	Sr	modo_sol
0.480	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.490	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.500	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.510	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.520	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.530	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.540	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.550	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.560	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.570	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	211	0
0.580	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.590	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.600	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.610	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.620	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.630	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.640	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.650	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	211	0
0.660	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.670	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.680	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.690	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.700	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.710	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
0.720	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.730	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.740	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.750	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.760	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.770	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.780	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.790	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.800	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.810	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.820	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.830	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.840	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.850	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.860	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.870	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.880	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
0.890	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.900	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
0.910	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.920	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.930	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.940	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
0.950	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
0.960	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.970	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	213	0
0.980	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
0.990	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.000	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
1.010	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.020	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.030	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.040	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.050	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
1.060	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
1.070	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.080	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.090	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
1.100	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.110	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.120	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.130	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.140	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.150	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	213	0
1.160	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.170	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.180	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.190	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.200	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
1.210	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.220	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.230	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
1.240	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.250	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
1.260	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.270	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.280	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.290	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
1.300	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.310	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
1.320	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
1.330	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.340	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.350	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.360	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	213	0
1.370	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
1.380	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
1.390	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.400	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	213	0
1.410	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.420	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.430	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.440	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.450	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
1.460	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.470	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
1.480	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.490	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.500	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.510	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
1.520	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.530	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.540	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.550	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.560	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.570	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.580	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.590	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.600	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.610	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.620	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.630	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
1.640	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.650	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.660	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.670	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
1.680	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
1.690	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.700	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
1.710	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
1.720	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.730	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.740	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	213	0
1.750	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
1.760	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
1.770	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.780	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.790	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.800	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
1.810	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.820	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.830	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.840	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
1.850	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.860	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.870	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.880	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.890	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
1.900	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.910	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.920	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.930	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.940	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.950	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.960	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
1.970	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
1.980	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
1.990	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.000	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.010	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
2.020	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.030	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
2.040	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.050	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.060	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.070	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.080	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
2.090	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.100	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
2.110	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
2.120	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.130	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
2.140	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.150	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.160	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.170	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.180	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.190	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
2.200	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	213	0
2.210	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
2.220	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.230	+0.000000	+0.000000	-0.067979	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
2.240	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	177	212	0
2.250	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.260	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	213	0
2.270	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
2.280	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.290	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.300	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.310	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
2.320	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
2.330	+0.000000	+0.000000	-0.063291	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	179	212	0
2.340	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
2.350	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	213	0
2.360	+0.000000	+0.000000	-0.065635	-0.109806	+0.000000	+0.000000	+2.235099	+2.235099	178	212	0
